fc' [Mpa],Arm Length [mm],eccentricity [arm ratio],Post Tensioned stress,Steel area,Axial,Moment,Shear,Trans Ten,Trans Comp,Ser Comp,Compression ratio
28.00,400.00,0.30,400.00,2500.00,3126.77,264.24,180.04,0.60,0.70,0.37,0.23
28.00,500.00,0.30,500.00,3000.00,4672.02,516.80,254.74,0.59,0.67,0.37,0.21
28.00,200.00,0.30,150.00,1750.00,1098.46,39.23,64.60,0.56,0.74,0.46,0.30
28.00,200.00,0.30,100.00,2000.00,1208.96,35.64,64.19,0.43,0.56,0.43,0.27
28.00,400.00,0.30,200.00,4000.00,3698.77,232.49,193.94,0.48,0.56,0.33,0.21
28.00,400.00,0.40,150.00,3500.00,3685.77,197.74,174.69,0.99,0.44,0.24,0.15
28.00,450.00,0.30,250.00,3500.00,4281.70,280.47,213.19,0.42,0.48,0.28,0.17
28.00,450.00,0.30,250.00,3500.00,4281.70,280.47,213.19,0.42,0.48,0.28,0.17
28.00,200.00,0.30,250.00,750.00,825.46,26.93,48.24,0.40,0.53,0.32,0.19
28.00,400.00,0.30,1200.00,750.00,2632.77,279.65,130.90,0.54,0.63,0.40,0.18
30.00,450.00,0.30,250.00,4000.00,4633.03,316.70,230.95,0.47,0.51,0.29,0.18
28.00,200.00,0.30,1000.00,250.00,636.96,40.72,38.85,0.54,0.70,0.48,0.21
28.00,200.00,0.30,150.00,2000.00,1156.96,43.49,68.69,0.64,0.84,0.51,0.34
28.00,450.00,0.30,400.00,3500.00,4008.70,406.92,236.82,0.68,0.77,0.40,0.25
40.00,450.00,0.30,400.00,4000.00,5622.71,486.83,276.67,0.65,0.62,0.34,0.20
28.00,500.00,0.30,400.00,3000.00,4828.02,416.26,241.24,0.47,0.53,0.30,0.17
28.00,200.00,0.30,1000.00,250.00,636.96,40.72,38.85,0.54,0.70,0.48,0.21
28.00,500.00,0.30,1200.00,1500.00,4048.02,674.09,229.61,0.71,0.80,0.49,0.23
28.00,500.00,0.30,800.00,1500.00,4360.02,492.26,202.61,0.47,0.53,0.36,0.16
30.00,450.00,0.30,500.00,3500.00,4087.03,511.08,256.61,0.82,0.90,0.47,0.28
28.00,200.00,0.30,1200.00,250.00,610.96,45.80,41.10,0.64,0.84,0.54,0.24
28.00,400.00,0.30,150.00,3500.00,3685.77,176.03,174.69,0.32,0.37,0.25,0.15
28.00,200.00,0.30,50.00,3500.00,1689.96,42.00,74.39,0.38,0.49,0.51,0.33
28.00,200.00,0.30,100.00,1500.00,1078.96,28.29,56.90,0.32,0.42,0.34,0.20
28.00,200.00,0.30,1200.00,250.00,610.96,45.80,41.10,0.64,0.84,0.54,0.24
28.00,200.00,0.30,100.00,2500.00,1338.96,42.37,70.71,0.54,0.70,0.50,0.33
28.00,200.00,0.40,50.00,2000.00,1260.96,30.25,59.69,0.74,0.34,0.33,0.19
30.00,200.00,0.30,500.00,750.00,777.17,48.60,55.76,0.78,0.98,0.53,0.31
30.00,500.00,0.30,1200.00,1750.00,4292.59,776.56,254.59,0.80,0.87,0.53,0.25
30.00,200.00,0.30,100.00,3000.00,1518.17,49.31,78.15,0.62,0.79,0.55,0.37
30.00,500.00,0.30,1200.00,1750.00,4292.59,776.56,254.59,0.80,0.87,0.53,0.25
30.00,200.00,0.30,150.00,1500.00,1089.17,35.29,61.44,0.47,0.59,0.39,0.24
30.00,200.00,0.30,150.00,2500.00,1323.17,52.09,75.87,0.78,0.98,0.57,0.40
30.00,400.00,0.30,1200.00,1000.00,2759.54,362.76,155.81,0.70,0.78,0.48,0.22
30.00,500.00,0.30,1300.00,1250.00,4383.59,580.66,216.23,0.62,0.68,0.39,0.17
30.00,400.00,0.30,400.00,3000.00,3383.54,309.63,200.84,0.70,0.78,0.41,0.25
30.00,200.00,0.30,50.00,3000.00,1596.17,37.80,71.40,0.31,0.39,0.43,0.27
40.00,450.00,0.30,500.00,2500.00,5336.71,414.82,231.24,0.50,0.48,0.29,0.15
40.00,450.00,0.30,500.00,3000.00,5362.71,479.76,253.45,0.61,0.58,0.33,0.18
40.00,450.00,0.30,500.00,3500.00,5388.71,543.03,274.51,0.71,0.67,0.38,0.21
30.00,400.00,0.30,400.00,2500.00,3331.54,267.89,183.18,0.58,0.65,0.35,0.21
30.00,200.00,0.30,1200.00,250.00,660.17,46.27,41.74,0.62,0.79,0.51,0.23
30.00,200.00,0.30,400.00,750.00,816.17,39.39,54.23,0.62,0.79,0.43,0.26
30.00,200.00,0.30,1000.00,250.00,686.17,41.25,39.49,0.52,0.66,0.46,0.20
30.00,400.00,0.30,800.00,1250.00,2941.54,316.53,154.67,0.58,0.65,0.42,0.20
30.00,400.00,0.30,400.00,2000.00,3279.54,224.18,164.27,0.47,0.52,0.30,0.17
40.00,450.00,0.30,500.00,3500.00,5388.71,543.03,274.51,0.71,0.67,0.38,0.21
30.00,500.00,0.30,500.00,4000.00,5046.59,658.59,300.88,0.76,0.83,0.44,0.26
30.00,200.00,0.30,500.00,750.00,777.17,48.60,55.76,0.78,0.98,0.53,0.31
30.00,500.00,0.30,1200.00,1250.00,4448.59,580.66,210.61,0.57,0.62,0.39,0.17
40.00,450.00,0.30,500.00,3500.00,5388.71,543.03,274.51,0.71,0.67,0.38,0.21
30.00,200.00,0.30,100.00,1250.00,1063.17,24.69,53.91,0.26,0.33,0.28,0.16
28.00,450.00,0.30,800.00,1500.00,3488.70,424.82,185.05,0.58,0.66,0.43,0.20
30.00,200.00,0.30,150.00,1750.00,1147.67,39.85,65.83,0.54,0.69,0.44,0.28
30.00,500.00,0.30,1000.00,2000.00,4422.59,769.79,257.38,0.76,0.83,0.52,0.24
40.00,400.00,0.30,250.00,3500.00,4732.39,255.01,209.51,0.44,0.43,0.25,0.15
40.00,200.00,0.30,250.00,1000.00,1166.23,36.39,60.59,0.45,0.49,0.30,0.18
40.00,200.00,0.30,50.00,3000.00,1842.23,40.02,77.91,0.27,0.30,0.34,0.20
40.00,500.00,0.30,500.00,3500.00,6633.45,628.34,300.75,0.58,0.55,0.32,0.17
40.00,200.00,0.30,800.00,500.00,932.23,62.05,57.16,0.72,0.79,0.51,0.24
