fc_prime,arm,eccentricity,fpe,area,Axial,Moment,Shear,Pass1,Pass2,Pass3,ComRatio
70,325,1,100,1750,5142.46,136.33,135.052203,1.619081,0.182787,0.08138,0.044974
70,325,0.4,1000,500,4583.46,182.33,106.263199,0.903697,0.256048,0.171673,0.07138
30,350,0.2,1000,1500,2026.11,317.95,147.057188,-1.317729,1.00858,0.804994,0.367011
30,300,0.6,150,1000,1938.73,58.91,79.121399,1.153441,0.283313,0.12033,0.07922
60,250,0.2,400,1500,2498.84,94.08,111.136653,-0.772426,0.397873,0.32991,0.167502
50,200,1,200,1750,1594.28,97.57,79.797853,10.173556,1.348393,0.10535,0.211791
28,375,0.4,50,1000,2798.83,43.31,94.398606,0.107437,0.048002,0.075043,0.03661
50,325,0.4,500,1000,3400.19,149.86,116.838125,1.069269,0.358468,0.186321,0.099958
70,300,1,1000,1750,3613.71,775.68,194.424753,19.024516,2.145119,0.226742,0.255356
30,200,0.2,100,2000,1258.17,31.48,65.478824,-0.598305,0.416472,0.424527,0.252031
30,200,0.2,100,1500,1128.17,25.13,58.064417,-0.448832,0.312343,0.336704,0.191144
60,325,0.8,1000,1750,3653.83,724.95,199.557438,12.79875,1.770284,0.316643,0.254568
50,375,0.8,400,1000,4591.19,212.23,129.795956,2.403425,0.364651,0.087521,0.066276
70,325,1,1200,1000,4375.46,578.19,159.535017,11.10326,1.253468,0.134157,0.14356
40,300,0.6,400,500,2324.98,73.26,72.22224,1.331959,0.283321,0.10632,0.065341
70,275,0.1,50,2000,3898.33,39.49,113.610134,-0.270909,0.034502,0.091259,0.049275
70,400,0.6,150,500,7283.93,94.95,110.554582,0.212063,0.034108,0.049696,0.019809
60,200,0.4,50,500,1619.34,12.59,45.952272,0.12592,0.039568,0.069017,0.033036
60,275,0.2,1200,2000,2227.14,362.94,161.700175,-2.507474,1.312794,0.968738,0.472002
60,200,1,1000,1000,1268.34,280.42,86.540082,26.535235,3.210501,0.26073,0.389539
60,375,0.8,0,250,5462.63,37.61,74.839897,-0.000159,-1.20E-05,0.033848,0.010155
28,225,0.6,200,1250,1139.47,57.25,65.478633,3.535058,0.899903,0.238795,0.211659
70,375,0.4,500,250,6295.07,77.11,84.41095,0.170094,0.048018,0.050997,0.019095
60,375,0.1,500,1500,5462.63,179.41,169.743118,-1.154956,0.160992,0.22355,0.094233
30,325,0.4,0,1500,2476.91,31.98,91.082458,-0.000259,-2.80E-05,0.088697,0.039127
